date;zender;kdh;madl;abs
02/12/2015;SBS 6;1,1;8,4;177.000
02/12/2015;Net5;0,5;4,0;84.000
02/12/2015;Veronica;0,4;2,9;60.000
02/12/2015;SBS9;0,1;0,6;12.000
02/12/2015;MTV;0,1;0,5;10.000
02/12/2015;Comedy Central;0,2;1,2;24.000
02/12/2015;Comedy Central Family;0,0;0,1;3.000
02/12/2015;Nickelodeon;0,1;0,8;18.000
02/12/2015;TeenNick;0,0;0,1;3.000
02/12/2015;Disney Channel;0,0;0,3;7.000
02/12/2015;Disney XD;0,1;0,6;12.000
02/12/2015;Discovery Channel;0,3;2,2;46.000
02/12/2015;TLC;0,3;2,1;45.000
02/12/2015;ID;0,1;0,7;15.000
02/12/2015;National Geographic Channel;0,2;1,3;28.000
02/12/2015;24Kitchen;0,1;0,4;9.000
02/12/2015;FOX;0,1;0,8;17.000
02/12/2015;FOX Sports 1 Eredivisie;0,0;0,0;1.000
02/12/2015;FOX Sports 2;0,0;0,2;5.000
02/12/2015;FOX Sports 3 Eredivisie;0,0;0,0;0
02/12/2015;Eurosport;0,0;0,3;7.000
02/12/2015;AT5;0,0;0,1;2.000
02/12/2015;ORN TV;0,2;1,7;36.000
02/12/2015;VID+DVD+HDR;0,8;6,2;131.000
02/12/2015;SKO Light;0,5;3,9;83.000
02/12/2015;Overige zenders;0,6;4,7;98.000
02/11/2015;Totaal zenders;13,5;100,0;2.093.000
02/11/2015;NPO1;2,6;19,2;402.000
02/11/2015;NPO2;1,0;7,1;148.000
02/11/2015;NPO3;0,6;4,3;90.000
02/11/2015;RTL4;2,4;17,5;367.000
02/11/2015;RTL5;0,4;2,8;59.000
02/11/2015;RTL7;0,6;4,4;93.000
02/11/2015;RTL8;0,3;2,3;48.000
02/11/2015;RTL Crime;0,0;0,1;3.000
02/11/2015;RTL Lounge;0,0;0,1;3.000
02/11/2015;SBS 6;1,0;7,2;152.000
02/11/2015;Net5;0,4;2,7;57.000
02/11/2015;Veronica;0,4;3,1;66.000
02/11/2015;SBS9;0,1;0,5;10.000
02/11/2015;MTV;0,1;0,4;9.000
02/11/2015;Comedy Central;0,2;1,6;34.000
02/11/2015;Comedy Central Family;0,0;0,1;3.000
02/11/2015;Nickelodeon;0,1;0,7;15.000
02/11/2015;TeenNick;0,0;0,1;2.000
02/11/2015;Disney Channel;0,1;0,4;9.000
02/11/2015;Disney XD;0,1;0,5;11.000
02/11/2015;Discovery Channel;0,3;2,4;51.000
02/11/2015;TLC;0,4;2,6;54.000
02/11/2015;ID;0,1;0,4;9.000
02/11/2015;National Geographic Channel;0,2;1,4;29.000
02/11/2015;24Kitchen;0,1;0,4;8.000
02/11/2015;FOX;0,1;0,9;19.000
02/11/2015;FOX Sports 1 Eredivisie;0,0;0,0;1.000
02/11/2015;FOX Sports 2;0,0;0,2;4.000
02/11/2015;FOX Sports 3 Eredivisie;0,0;0,0;0
02/11/2015;Eurosport;0,1;0,7;14.000
02/11/2015;AT5;0,0;0,1;2.000
02/11/2015;ORN TV;0,2;1,5;31.000
02/11/2015;VID+DVD+HDR;0,8;5,8;122.000
02/11/2015;SKO Light;0,5;3,7;78.000
02/11/2015;Overige zenders;0,6;4,4;92.000
02/10/2015;Totaal zenders;14,1;100,0;2.193.000
02/10/2015;NPO1;2,9;20,2;442.000
02/10/2015;NPO2;0,9;6,6;145.000
02/10/2015;NPO3;0,9;6,1;133.000
02/10/2015;RTL4;2,3;15,9;349.000
02/10/2015;RTL5;0,4;3,1;67.000
02/10/2015;RTL7;0,7;4,6;101.000
02/10/2015;RTL8;0,3;1,9;42.000
02/10/2015;RTL Crime;0,0;0,1;1.000
02/10/2015;RTL Lounge;0,0;0,1;2.000
02/10/2015;SBS 6;1,0;7,0;154.000
02/10/2015;Net5;0,5;3,7;81.000
02/10/2015;Veronica;0,5;3,3;72.000
02/10/2015;SBS9;0,0;0,2;5.000
02/10/2015;MTV;0,1;0,7;14.000
02/10/2015;Comedy Central;0,2;1,3;29.000
02/10/2015;Comedy Central Family;0,0;0,1;3.000
02/10/2015;Nickelodeon;0,1;0,7;16.000
02/10/2015;TeenNick;0,0;0,1;2.000
02/10/2015;Disney Channel;0,1;0,5;11.000
02/10/2015;Disney XD;0,1;0,6;14.000
02/10/2015;Discovery Channel;0,3;2,2;48.000
02/10/2015;TLC;0,3;2,3;50.000
02/10/2015;ID;0,1;0,5;11.000
02/10/2015;National Geographic Channel;0,2;1,1;25.000
02/10/2015;24Kitchen;0,1;0,4;9.000
02/10/2015;FOX;0,2;1,4;32.000
02/10/2015;FOX Sports 1 Eredivisie;0,0;0,1;3.000
02/10/2015;FOX Sports 2;0,0;0,0;0
02/10/2015;FOX Sports 3 Eredivisie;0,0;0,1;2.000
02/10/2015;Eurosport;0,1;0,5;12.000
02/10/2015;AT5;0,0;0,1;1.000
02/10/2015;ORN TV;0,2;1,4;31.000
02/10/2015;VID+DVD+HDR;0,8;5,5;121.000
02/10/2015;SKO Light;0,5;3,7;82.000
02/10/2015;Overige zenders;0,5;3,8;83.000
02/09/2015;Totaal zenders;17,5;100,0;2.707.000
02/09/2015;NPO1;4,9;27,8;753.000
02/09/2015;NPO2;0,8;4,6;124.000
02/09/2015;NPO3;0,6;3,7;100.000
02/09/2015;RTL4;2,3;13,3;360.000
02/09/2015;RTL5;0,4;2,5;69.000
02/09/2015;RTL7;0,5;2,6;71.000
02/09/2015;RTL8;0,3;1,7;47.000
02/09/2015;RTL Crime;0,0;0,0;1.000
02/09/2015;RTL Lounge;0,0;0,0;1.000
02/09/2015;SBS 6;1,1;6,1;165.000
